date,code,open,high,low,close,preclose,volume,amount,pctChg
2017-01-03,sh.000001,3105.3080,3136.4550,3105.3080,3135.9200,3103.6370,14156718592,159887138816.0000,1.040200
2017-01-04,sh.000001,3133.7870,3160.1020,3130.1140,3158.7940,3135.9200,16786085120,195914293248.0000,0.729400
2017-01-05,sh.000001,3157.9060,3168.5020,3154.2810,3165.4100,3158.7940,17472764416,199692025856.0000,0.209400
2017-01-06,sh.000001,3163.7760,3172.0340,3153.0250,3154.3210,3165.4100,18370896640,207296036864.0000,-0.350300
2017-01-09,sh.000001,3148.5310,3173.1360,3147.7350,3171.2360,3154.3210,17171407616,192110579712.0000,0.536200
2017-01-10,sh.000001,3167.5700,3174.5780,3157.3320,3161.6710,3171.2360,17975921664,194963218432.0000,-0.301600
2017-01-11,sh.000001,3156.6850,3167.0280,3136.2660,3136.7530,3161.6710,17836222208,189186457600.0000,-0.788100
2017-01-12,sh.000001,3133.6010,3144.9690,3115.9780,3119.2880,3136.7530,14888923904,161922297856.0000,-0.556800
2017-01-13,sh.000001,3116.0820,3130.5140,3102.1620,3112.7640,3119.2880,15627421440,174438555648.0000,-0.209200
2017-01-16,sh.000001,3104.4920,3105.1420,3044.2910,3103.4280,3112.7640,25788599552,262826041344.0000,-0.299900
2017-01-17,sh.000001,3087.0290,3108.9070,3072.3380,3108.7740,3103.4280,13615785984,154757554176.0000,0.172300
2017-01-18,sh.000001,3104.7660,3123.7200,3098.5860,3113.0120,3108.7740,13178012928,144546717696.0000,0.136300
2017-01-19,sh.000001,3104.9710,3115.7770,3094.0050,3101.2990,3113.0120,12385142016,139280461824.0000,-0.376300
2017-01-20,sh.000001,3095.8180,3125.6590,3095.2140,3123.1380,3101.2990,12236677632,141471809536.0000,0.704200
2017-01-23,sh.000001,3125.4200,3145.8410,3125.4200,3136.7740,3123.1380,13266039296,148145737728.0000,0.436600
2017-01-24,sh.000001,3134.5920,3149.5310,3131.2180,3142.5530,3136.7740,12597388032,134553853952.0000,0.184200
2017-01-25,sh.000001,3137.6460,3151.4720,3133.1910,3149.5540,3142.5530,11207382784,126765830144.0000,0.222800
2017-01-26,sh.000001,3149.2160,3163.1040,3148.9080,3159.1660,3149.5540,11387677184,125013192704.0000,0.305200
2017-02-03,sh.000001,3160.0810,3162.6770,3136.0130,3140.1700,3159.1660,9222473728,108023660544.0000,-0.601300
2017-02-06,sh.000001,3143.0930,3158.8430,3135.3860,3156.9830,3140.1700,12719828224,150067695616.0000,0.535400
2017-02-07,sh.000001,3154.4040,3159.5440,3140.0350,3153.0870,3156.9830,12833744128,152559087616.0000,-0.123400
2017-02-08,sh.000001,3148.0860,3167.4460,3132.0330,3166.9810,3153.0870,14492018688,170854125568.0000,0.440600
2017-02-09,sh.000001,3164.6870,3186.8380,3162.5740,3183.1790,3166.9810,19164032768,209723158528.0000,0.511500
2017-02-10,sh.000001,3183.0060,3205.0490,3182.8020,3196.6990,3183.1790,23934891264,245772165120.0000,0.424700
2017-02-13,sh.000001,3198.9940,3219.4070,3198.9940,3216.8390,3196.6990,22019150848,236158767104.0000,0.630000
2017-02-14,sh.000001,3216.1370,3219.4040,3205.2850,3217.9280,3216.8390,18879808768,204253822976.0000,0.033800
2017-02-15,sh.000001,3215.4630,3235.9970,3206.5600,3212.9850,3217.9280,24150770688,257965244416.0000,-0.153600
2017-02-16,sh.000001,3210.3560,3230.2750,3207.7850,3229.6180,3212.9850,21695594240,226587611136.0000,0.517700
2017-02-17,sh.000001,3227.7070,3238.3950,3199.4240,3202.0750,3229.6180,22622817792,248572751872.0000,-0.852800
2017-02-20,sh.000001,3198.9630,3241.4580,3198.9630,3239.9610,3202.0750,23215209728,250276130816.0000,1.183200
2017-02-21,sh.000001,3242.2220,3254.3350,3239.8770,3253.3250,3239.9610,21167306496,233551175680.0000,0.412500
2017-02-22,sh.000001,3252.6890,3261.3800,3243.8390,3261.2180,3253.3250,20745377536,234815324160.0000,0.242600
2017-02-23,sh.000001,3258.8310,3264.0810,3236.3540,3251.3750,3261.2180,20917979904,236822581248.0000,-0.301800
2017-02-24,sh.000001,3246.8600,3253.9550,3233.5340,3253.4320,3251.3750,18640636160,213839036416.0000,0.063300
2017-02-27,sh.000001,3249.1940,3251.6540,3224.0880,3228.6600,3253.4320,18258107136,211395715072.0000,-0.761400
2017-02-28,sh.000001,3225.9680,3242.6790,3225.9680,3241.7330,3228.6600,15124431872,186019287040.0000,0.404900
2017-03-01,sh.000001,3240.0720,3259.9780,3237.8710,3246.9330,3241.7330,19067755008,225940967424.0000,0.160400
2017-03-02,sh.000001,3250.5180,3256.8070,3228.6640,3230.0280,3246.9330,18121507584,223043960832.0000,-0.520600
2017-03-03,sh.000001,3219.2010,3221.1550,3206.6120,3218.3110,3230.0280,15708236800,192707923968.0000,-0.362800
2017-03-06,sh.000001,3217.3340,3234.6620,3215.0670,3233.8650,3218.3110,15609215744,193769172992.0000,0.483300
2017-03-07,sh.000001,3233.0930,3242.6590,3226.8210,3242.4060,3233.8650,16406423552,209931206656.0000,0.264100
2017-03-08,sh.000001,3240.5320,3245.3040,3230.6080,3240.6640,3242.4060,16073138688,198225780736.0000,-0.053700
2017-03-09,sh.000001,3233.7000,3233.8740,3205.2790,3216.7450,3240.6640,16737110784,199217647616.0000,-0.738100
2017-03-10,sh.000001,3213.7290,3222.3180,3208.4470,3212.7600,3216.7450,13667274240,173663170560.0000,-0.123900
2017-03-13,sh.000001,3209.4490,3237.1210,3193.1560,3237.0240,3212.7600,16367376128,206919741440.0000,0.755200
2017-03-14,sh.000001,3235.2510,3246.3280,3231.5200,3239.3270,3237.0240,14694602240,191535128576.0000,0.071100
2017-03-15,sh.000001,3235.4030,3243.7130,3227.7370,3241.7590,3239.3270,14405568256,185727250432.0000,0.075100
2017-03-16,sh.000001,3247.1620,3269.7700,3247.1620,3268.9350,3241.7590,18941600256,244508344320.0000,0.838300
2017-03-17,sh.000001,3271.8660,3274.1900,3232.2800,3237.4470,3268.9350,20058322432,262184046592.0000,-0.963300
2017-03-20,sh.000001,3241.1100,3251.1270,3228.1170,3250.8080,3237.4470,17054843136,213951758336.0000,0.412700
2017-03-21,sh.000001,3250.2470,3262.2200,3246.6950,3261.6100,3250.8080,16271930624,219121270784.0000,0.332300
2017-03-22,sh.000001,3246.2230,3255.7770,3229.1280,3245.2190,3261.6100,18973164800,244545458176.0000,-0.502500
2017-03-23,sh.000001,3245.8070,3262.0910,3221.9340,3248.5490,3245.2190,19302914304,258246692864.0000,0.102600
2017-03-24,sh.000001,3247.3490,3275.2060,3241.1230,3269.4450,3248.5490,21977791488,267094163456.0000,0.643200
2017-03-27,sh.000001,3268.9240,3283.2390,3262.1180,3266.9550,3269.4450,20185267456,249185542144.0000,-0.076200
2017-03-28,sh.000001,3265.6340,3265.6340,3246.0860,3252.9470,3266.9550,16171001344,203452481536.0000,-0.428800
2017-03-29,sh.000001,3252.8650,3262.0970,3233.2790,3241.3140,3252.9470,21610557440,245371850752.0000,-0.357600
2017-03-30,sh.000001,3235.1360,3240.0170,3195.8520,3210.2360,3241.3140,24713548032,265694871552.0000,-0.958800
2017-03-31,sh.000001,3206.2520,3226.2480,3205.5360,3222.5140,3210.2360,19644292096,214036160512.0000,0.382500
2017-04-05,sh.000001,3235.6600,3270.6450,3233.2360,3270.3050,3222.5140,24832020224,273201156096.0000,1.483000
2017-04-06,sh.000001,3272.1920,3286.6730,3265.7640,3281.0040,3270.3050,24528800000,262335586304.0000,0.327200
2017-04-07,sh.000001,3280.6230,3295.1870,3275.0500,3286.6160,3281.0040,23610894336,266738323456.0000,0.171000
2017-04-10,sh.000001,3285.4590,3285.4590,3265.0120,3269.3920,3286.6160,23269461504,279415193600.0000,-0.524100
2017-04-11,sh.000001,3266.2210,3290.3880,3244.4040,3288.9650,3269.3920,28128124928,326622408704.0000,0.598700
2017-04-12,sh.000001,3283.8360,3284.9330,3262.2770,3273.8300,3288.9650,26938179072,311505522688.0000,-0.460200
2017-04-13,sh.000001,3265.2180,3281.1360,3261.4900,3275.9600,3273.8300,20734687488,223287214080.0000,0.065100
2017-04-14,sh.000001,3276.1380,3276.7110,3238.8950,3246.0660,3275.9600,21450855936,224106680320.0000,-0.912500
2017-04-17,sh.000001,3229.9490,3229.9490,3199.9120,3222.1670,3246.0660,21273718784,227214680064.0000,-0.736200
2017-04-18,sh.000001,3215.3960,3225.0540,3196.4880,3196.7130,3222.1670,18866135296,211866767360.0000,-0.790000
2017-04-19,sh.000001,3184.6660,3189.4360,3147.0650,3170.6860,3196.7130,21323807488,225806057472.0000,-0.814200
2017-04-20,sh.000001,3165.6650,3178.1820,3148.1840,3172.1000,3170.6860,19087398400,220098232320.0000,0.044600
2017-04-21,sh.000001,3170.2890,3180.7940,3158.6280,3173.1510,3172.1000,16476174080,184131440640.0000,0.033100
2017-04-24,sh.000001,3164.2470,3164.2470,3111.2140,3129.5310,3173.1510,18627743488,197845254144.0000,-1.374700
2017-04-25,sh.000001,3123.8940,3145.2670,3117.4480,3134.5670,3129.5310,15341830656,174129250304.0000,0.160900
2017-04-26,sh.000001,3132.9180,3152.9530,3131.4180,3140.8470,3134.5670,16987810816,197112872960.0000,0.200300
2017-04-27,sh.000001,3131.3490,3155.0030,3097.3330,3152.1860,3140.8470,21179307264,235748319232.0000,0.361000
2017-04-28,sh.000001,3144.0210,3154.7260,3136.5780,3154.6580,3152.1860,16288989952,183195770880.0000,0.078400
2017-05-02,sh.000001,3147.2270,3154.7810,3136.5390,3143.7120,3154.6580,15422296320,176389918720.0000,-0.347000
2017-05-03,sh.000001,3138.3060,3148.2850,3123.7500,3135.3460,3143.7120,16376392448,190236602368.0000,-0.266100
2017-05-04,sh.000001,3127.1050,3143.8170,3111.3910,3127.3680,3135.3460,17796748544,200170852352.0000,-0.254500
2017-05-05,sh.000001,3114.7730,3117.6140,3092.0910,3103.0370,3127.3680,17621364224,200273907712.0000,-0.778000
2017-05-08,sh.000001,3090.0650,3093.4510,3067.6940,3078.6120,3103.0370,18052690432,198171688960.0000,-0.787100
2017-05-09,sh.000001,3064.8480,3084.2070,3056.5580,3080.5260,3078.6120,13506667520,152795901952.0000,0.062200
2017-05-10,sh.000001,3078.1720,3090.8190,3051.5890,3052.7850,3080.5260,16079445248,181624152064.0000,-0.900500
2017-05-11,sh.000001,3036.7890,3063.5630,3016.5300,3061.5000,3052.7850,19134190080,197604069376.0000,0.285500
2017-05-12,sh.000001,3054.1120,3090.4910,3051.8710,3083.5130,3061.5000,15968409856,175107244032.0000,0.719000
2017-05-15,sh.000001,3085.9310,3098.9120,3085.9310,3090.2280,3083.5130,13566072832,158269607936.0000,0.217800
2017-05-16,sh.000001,3082.8710,3113.5110,3060.5340,3112.9640,3090.2280,17377556480,193292103680.0000,0.735700
2017-05-17,sh.000001,3107.8020,3119.5810,3101.2950,3104.4410,3112.9640,16867415808,194560593920.0000,-0.273800
2017-05-18,sh.000001,3082.3280,3103.4410,3077.9630,3090.1390,3104.4410,14862003456,168149516288.0000,-0.460700
2017-05-19,sh.000001,3086.7050,3095.4820,3081.2780,3090.6300,3090.1390,12963523072,150164226048.0000,0.015900
2017-05-22,sh.000001,3087.1700,3103.9370,3063.1520,3075.6750,3090.6300,15368372992,170340982784.0000,-0.483900
2017-05-23,sh.000001,3069.3930,3084.2350,3050.8420,3061.9470,3075.6750,17831059968,195073654784.0000,-0.446300
2017-05-24,sh.000001,3047.5680,3064.8120,3022.3020,3064.0750,3061.9470,13981335296,152669200384.0000,0.069500
2017-05-25,sh.000001,3055.3420,3114.6570,3052.8300,3107.8310,3064.0750,19139184128,201910124544.0000,1.428000
2017-05-26,sh.000001,3101.2860,3120.6620,3100.3870,3110.0580,3107.8310,15592348672,171327385600.0000,0.071700
2017-05-31,sh.000001,3125.3250,3143.2780,3111.5560,3117.1770,3110.0580,15295043072,177913311232.0000,0.228900
2017-06-01,sh.000001,3108.4210,3113.5210,3097.6790,3102.6230,3117.1770,16301571840,180782624768.0000,-0.466900
2017-06-02,sh.000001,3094.2250,3110.3890,3081.8480,3105.5400,3102.6230,14250492416,154454347776.0000,0.094000
2017-06-05,sh.000001,3102.1090,3105.5050,3084.8300,3091.6560,3105.5400,13257029888,143429804032.0000,-0.447100
2017-06-06,sh.000001,3084.5400,3102.8630,3078.7870,3102.1260,3091.6560,11343996416,127804624896.0000,0.338700
2017-06-07,sh.000001,3101.7600,3140.7740,3098.9500,3140.3240,3102.1260,17322901504,194287943680.0000,1.231300
2017-06-08,sh.000001,3136.4700,3153.2630,3132.8270,3150.3330,3140.3240,15227766016,178894299136.0000,0.318700
2017-06-09,sh.000001,3147.4530,3165.9190,3146.1070,3158.4000,3150.3330,16013633536,181584883712.0000,0.256100
2017-06-12,sh.000001,3149.5260,3164.9500,3135.3140,3139.8760,3158.4000,14672942592,170223276032.0000,-0.586500
2017-06-13,sh.000001,3134.0080,3155.9890,3131.0430,3153.7420,3139.8760,12831827968,148457869312.0000,0.441600
2017-06-14,sh.000001,3146.7480,3149.1730,3125.3540,3130.6740,3153.7420,13834704128,160641228800.0000,-0.731400
2017-06-15,sh.000001,3125.5860,3137.5850,3117.0840,3132.4860,3130.6740,14695424512,171124531200.0000,0.057900
2017-06-16,sh.000001,3126.3720,3134.2510,3117.8560,3123.1660,3132.4860,12965275904,149215477760.0000,-0.297500
2017-06-19,sh.000001,3122.1570,3146.7700,3121.7780,3144.3730,3123.1660,13489175808,151741796352.0000,0.679000
2017-06-20,sh.000001,3148.0180,3150.4640,3134.6100,3140.0130,3144.3730,14119180288,162498015232.0000,-0.138700
2017-06-21,sh.000001,3148.9860,3157.0270,3132.6170,3156.2110,3140.0130,13668826880,167048216576.0000,0.515900
2017-06-22,sh.000001,3152.2420,3186.9820,3146.6430,3147.4530,3156.2110,19134400512,220438437888.0000,-0.277500
2017-06-23,sh.000001,3138.4440,3158.0470,3118.0940,3157.8730,3147.4530,15484364800,175568523264.0000,0.331100
2017-06-26,sh.000001,3157.0020,3187.8890,3156.9760,3185.4430,3157.8730,17357921024,200419303424.0000,0.873100
2017-06-27,sh.000001,3183.4190,3193.4610,3172.4630,3191.1960,3185.4430,14820119808,167523799040.0000,0.180600
2017-06-28,sh.000001,3183.6330,3193.4390,3170.7850,3173.2010,3191.1960,14651672064,162081099776.0000,-0.563900
2017-06-29,sh.000001,3174.9810,3188.7740,3174.2830,3188.0620,3173.2010,12875547136,147249799168.0000,0.468300
2017-06-30,sh.000001,3176.9480,3193.2410,3171.5700,3192.4260,3188.0630,12146454272,143195602944.0000,0.136900
